Organization CRD#,SEC#,Primary Business Name,Legal Name,Website Address,Main Office State,Main Office City,5B(1),5B(2),5B(3),5B(4),5B(5),5B(6),5D(a)(1),5D(a)(3),SEC Current Status,Latest ADV Filing Date
142558,801-67569,MANAGED ACCOUNT ADVISORS LLC,MANAGED ACCOUNT ADVISORS LLC,HTTPS://WWW.MERRILL.COM,NJ,JERSEY CITY,24,0,24,0,0,2,977181,"219,816,972,459.00",Approved,01/05/2026
143665,801-77333,HBW ADVISORY SERVICES LLC,HBW ADVISORY SERVICES LLC,https://www.wealthfort.com,CA,SIMI VALLEY,68,5,68,0,50,0,13698,"1,516,805,480.00",Approved,11/13/2025
146019,801-68723,CONFLUENCE INVESTMENT MANAGEMENT LLC,CONFLUENCE INVESTMENT MANAGEMENT LLC,HTTPS://VIMEO.COM/CONFLUENCEIM,MO,SAINT LOUIS,24,0,15,0,0,0,14671,"4,721,435,271.00",Approved,03/21/2025
147363,801-69271,MERCER GLOBAL ADVISORS INC.,MERCER GLOBAL ADVISORS INC.,https://www.linkedin.com/company/cfnplan/,CO,DENVER,741,9,541,14,23,11,17010,"7,780,928,860.00",Approved,12/26/2025
148222,801-71114,GEOWEALTH MANAGEMENT LLC,GEOWEALTH MANAGEMENT LLC,https://twitter.com/geowealthtech,IL,CHICAGO,19,1,19,0,0,2,47688,"8,354,791,706.00",Approved,11/07/2025
148456,801-69766,WEALTHFRONT ADVISERS LLC,WEALTHFRONT ADVISERS LLC,HTTPS://SUPPORT.WEALTHFRONT.COM,CA,PALO ALTO,25,61,38,0,0,24,479534,"27,636,784,409.00",Approved,10/22/2025
149117,801-70171,BETTERMENT,BETTERMENT LLC,https://www.linkedin.com/in/sarah-kirshbaum-levy-889881a1,NY,NEW YORK,33,33,24,0,0,13498,899683,"39,940,408,323.00",Approved,02/27/2026
149777,801-70103,MORGAN STANLEY,MORGAN STANLEY SMITH BARNEY LLC,HTTP://WWW.MORGANSTANLEYCLIENTSERV.COM,NY,PURCHASE,13000,27905,22300,0,12225,388,2448796,"1,075,413,200,911.00",Approved,02/23/2026
153577,801-71501,RICHARD BERNSTEIN ADVISORS LLC,RICHARD BERNSTEIN ADVISORS LLC,HTTPS://WWW.LINKEDIN.COM/COMPANY/1376322/,NY,NEW YORK,8,10,0,0,0,1,12581,"3,120,519,918.00",Approved,01/22/2026
158823,801-72762,SIGFIG WEALTH MANAGEMENT LLC,SIGFIG WEALTH MANAGEMENT LLC,HTTPS://WWW.LINKEDIN.COM/COMPANY/SIGFIG/,CA,SAN FRANCISCO,6,0,4,0,0,1,106229,"3,375,250,059.00",Approved,02/12/2026
164109,801-76667,ADVISOR RESOURCE COUNCIL,ADVISOR RESOURCE COUNCIL,https://www.facebook.com/mclemoregroup/,TX,DALLAS,81,58,77,4,60,2,10144,"1,688,821,838.00",Approved,11/24/2025
164484,801-77771,TD PRIVATE CLIENT WEALTH LLC,TD PRIVATE CLIENT WEALTH LLC,https://www.td.com/us/en/investing/,NY,NEW YORK,482,514,485,0,473,1,23833,"3,080,387,187.00",Approved,01/29/2026
167958,801-78185,SOFI WEALTH LLC,SOFI WEALTH LLC,HTTPS://WWW.INSTAGRAM.COM/SOFI/?HL=EN,CA,SAN FRANCISCO,10,80,80,0,5,10,265000,"1,443,604,076.00",Approved,02/27/2025
170301,801-79305,ALLY INVEST ADVISORS,ALLY INVEST ADVISORS INC,https://cloud.email.ally.com/wealth-lead- form,NC,CHARLOTTE,9,8,9,0,0,0,79908,"1,335,741,626.00",Approved,08/04/2025
171481,801-79769,IHT WEALTH MANAGEMENT LLC,IHT WEALTH MANAGEMENT LLC,https://www.facebook.com/IHTWealthManagement,IL,CHICAGO,153,151,105,0,7,6,16311,"1,185,557,454.00",Approved,06/12/2025
175083,801-100512,FOUNDATIONS INVESTMENT ADVISORS LLC,FOUNDATIONS INVESTMENT ADVISORS LLC,HTTP://WWW.FIWEALTH.COM,AZ,PHOENIX,229,0,229,14,229,0,20474,"3,507,948,193.00",Approved,12/18/2025
226550,801-96294,STASH INVEST,STASH INVESTMENTS LLC,HTTPS://PINTEREST.COM/STASHAPP,NY,NEW YORK,5,13,0,0,0,8659,1290843,"4,165,105,229.00",Approved,02/20/2026
242793,801-106499,WAHED,WAHED INVEST LLC,https://www.facebook.com/people/Wahed-US/61566373822691/,NY,NEW YORK,1,0,1,0,0,0,23257,"149,181,779.00",Approved,10/14/2025
269875,801-100429,HUMAN INTEREST ADVISORS LLC,HUMAN INTEREST ADVISORS LLC,https://humaninterest.com,CA,SAN FRANCISCO,2,0,2,0,0,0,792873,"7,836,888,275.00",Approved,02/06/2026
281958,801-56942,FIRST COMMAND ADVISORY SERVICES,FIRST COMMAND ADVISORY SERVICES,HTTP://WWW.FACEBOOK.COM/FIRSTCOMMAND,TX,FORT WORTH,1155,1232,1155,0,1207,0,109659,"20,103,217,066.00",Approved,12/26/2025
284656,801-108179,INTEGRATED WEALTH CONCEPTS LLC,INTEGRATED WEALTH CONCEPTS LLC,https://www.facebook.com/onevisionretirement,MA,WALTHAM,452,230,403,6,200,217,15572,"4,811,530,000.00",Approved,01/30/2026
288863,801-110833,ARKADIOS WEALTH ADVISORS,ARKADIOS WEALTH ADVISORS LLC,https://www.linkedin.com/company/arkadios-capital/,GA,ATLANTA,151,112,60,0,114,0,11076,"1,841,521,039.00",Approved,02/26/2026
289521,801-111640,MONEYLION,ML WEALTH LLC,HTTPS://WWW.INSTAGRAM.COM/MONEYLIONINC/,NY,NEW YORK,1,3,1,0,0,1,675437,"11,243,928.00",Approved,12/19/2025
290111,801-112142,TITAN,TITAN GLOBAL CAPITAL MANAGEMENT USA LLC,HTTPS://WWW.INSTAGRAM.COM/TITANVEST/,NY,NEW YORK,5,11,5,0,0,0,59488,"857,418,744.00",Approved,11/20/2025
291361,801-114033,ROCKEFELLER CAPITAL MANAGEMENT,ROCKEFELLER FINANCIAL LLC,https://www.rockco.com/atlantic-group/,NY,NEW YORK,748,740,748,144,384,14,21369,"7,140,124,129.00",Approved,12/26/2025
301896,801-116860,FIDELITY INSTITUTIONAL WEALTH ADVISER LLC,FIDELITY INSTITUTIONAL WEALTH ADVISER LLC,https://www.youtube.com/@FidelityInstitutional,MA,BOSTON,93,152,38,0,6,2,49046,"161,405,779.00",Approved,01/09/2026
304881,801-117281,WEBULL ADVISORS LLC,WEBULL ADVISORS LLC,https://www.webull.com/,FL,ST PETERSBURG,3,2,2,0,0,1,27290,"46,368,003.00",Approved,11/28/2025
309397,801-119004,MAGNIFI,MAGNIFI LLC,https://apps.apple.com/us/app/magnifi-invest-with-ai/id1574358920,CO,BOULDER,4,0,1,0,0,19,10121,"2,185,992.00",Approved,06/05/2025
313296,801-120685,EKO,EKO INVESTMENTS INC.,https://eko.investments/,,,1,0,0,0,0,0,11409,"14,382,290.00",Approved,01/16/2026
315589,801-122735,DASTA INVESTMENTS LLC,DUB ADVISORS LLC,http://instagram.com/disclosed.advisors,NY,NEW YORK,2,2,1,0,0,1,24811,"61,648,665.00",Approved,02/23/2026
315965,801-122824,NORTHSTAR INVESTMENT ADVISORY LLC,NORTHSTAR INVESTMENT ADVISORY LLC,https://www.linkedin.com/company/northstarmoney/,CA,WEST HOLLYWOOD,9,0,9,0,0,0,24560,.00,Approved,02/10/2026
335426,801-132923,EAST CAPITAL,EAST CAPITAL FINANCIAL SERVICES AB,https://www.eastcapital.com/;,,STOCKHOLM,22,0,0,0,0,1,12300,"247,000,000.00",Approved,07/10/2025
309727,801-119340,INSIGHTS INVESTMENTS,INSIGHTS INVESTMENTS LLC,https://www.instagram.com/insights.wm/,CA,PALO ALTO,1,0,0,0,0,0,25734,"14,624,428.00",Approved,03/13/2025
296868,801-113352,MITSUBISHI UFJ TRUST AND BANKING CORPORATION,MITSUBISHI UFJ TRUST AND BANKING CORPORATION,https://www.tr.mufg.jp/am/index.html,,TOKYO,250,0,0,0,0,1,33573,"2,420,283,928.00",Approved,08/08/2025
340206,801-135256,GRAVITALIX FINANCIAL,GRAVITALIX FINANCIAL LLC,,FL,CORAL SPRINGS,1,0,0,0,0,1,198394,"133,100,000.00",Approved,01/30/2026
307764,801-118287,NOMAD,NOMAD FINTECH INC,https://twitter.com/NomadGlobalApp,FL,ORLANDO,22,3,0,0,0,0,237362,"448,597,281.00",Approved,01/09/2026
